CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
MUERTO,01/03/2022 12:00:00 AM,"2,022",1899-12-31T21:00:00.000,NOCHE,LUNES,COLOMBIA,CARRERA 31 CALLE 36,URBANA,TECNICO,3.53319,-76.30065,SEMAFORO EN ROJO,142,MOTOCICLISTA,CHOQUE,23,FEMENINA,LESIONADO,PALMA,MOTO,TONGKO,GUACARI,PARTICULAR,NO APLICA
MUERTO,01/03/2022 12:00:00 AM,"2,022",1899-12-31T21:00:00.000,NOCHE,LUNES,COLOMBIA,CARRERA 31 CALLE 36,URBANA,TECNICO,3.53319,-76.30065,SEMAFORO EN ROJO,142,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,57,FEMENINA,MUERTO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,01/04/2022 12:00:00 AM,"2,022",1899-12-31T17:20:00.000,TARDE,MARTES,CENTRO COMERCIAL LLANOGRANDE,PARQUIADERO,URBANA,TECNICO,3.52776,-76.31709,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,48,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PALMIRA,PARTICULAR,NO APLICA
DAÑOS,01/04/2022 12:00:00 AM,"2,022",1899-12-31T17:20:00.000,TARDE,MARTES,CENTRO COMERCIAL LLANOGRANDE,PARQUIADERO,URBANA,TECNICO,3.52776,-76.31709,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,22,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CANDELARIA,PARTICULAR,NO APLICA
HERIDOS,01/04/2022 12:00:00 AM,"2,022",1899-12-31T11:30:00.000,MAÑANA,MARTES,RECREO,CALLE 22 CARRERA 27,URBANA,TECNICO,3.52015,-76.29909,DESOBEDESER SEÑAL,112,MOTOCICLISTA,CHOQUE,48,FEMENINA,LESIONADO,PALMIRA,MOTO,HONDA,CALI,PARTICULAR,NO APLICA
HERIDOS,01/04/2022 12:00:00 AM,"2,022",1899-12-31T11:30:00.000,MAÑANA,MARTES,RECREO,CALLE 22 CARRERA 27,URBANA,TECNICO,3.52015,-76.29909,DESOBEDESER SEÑAL,112,MOTOCICLISTA,CHOQUE,29,MASCULINO,NO APLICA,NO APLICA,MOTO,SUZUKI,PRADERA,PARTICULAR,NO APLICA
DAÑOS,01/05/2022 12:00:00 AM,"2,022",1899-12-31T17:30:00.000,TARDE,MIERCOLES,COLOMBIA,CALLE 31 CARRERA 21,URBANA,TECNICO,3.5272,-76.29292,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,41,FEMENINA,NO APLICA,NO APLICA,CAMPERO,SUZUKI,CALI,PARTICULAR,NO APLICA
DAÑOS,01/05/2022 12:00:00 AM,"2,022",1899-12-31T17:30:00.000,TARDE,MIERCOLES,COLOMBIA,CALLE 31 CARRERA 21,URBANA,TECNICO,3.5272,-76.29292,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,29,MASCULINO,NO APLICA,NO APLICA,MOTO,HONDA,GUACARI,PARTICULAR,NO APLICA
HERIDOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T07:50:00.000,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,3.53008,-76.29675,DESOBEDESER SEÑAL,112,MOTOCICLISTA,CHOQUE,43,MASCULINO,LESIONADO,PALMIRA,MOTO,HERO,FLORIDA,PARTICULAR,NO APLICA
HERIDOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T07:50:00.000,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,3.53008,-76.29675,DESOBEDESER SEÑAL,112,MOTOCICLISTA,CHOQUE,48,MASCULINO,LESIONADO,PALMIRA,MOTO,BAJAJ,CALI,PARTICULAR,NO APLICA
HERIDOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T07:50:00.000,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,3.53008,-76.29675,DESOBEDESER SEÑAL,112,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,51,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T07:50:00.000,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,3.53008,-76.29675,DESOBEDESER SEÑAL,112,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,25,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T17:45:00.000,TARDE,JUEVES,INDUSTRIA,CALLE 42 CARRERA 37--35,URBANA,TECNICO,3.53889,-76.30849,CAMBIO DE CARRIL CON O SIN INDICACION,157,NO APLICA,CHOQUE,38,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,FIAT,CALI,PARTICULAR,NO APLICA
DAÑOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T17:45:00.000,TARDE,JUEVES,INDUSTRIA,CALLE 42 CARRERA 37--35,URBANA,TECNICO,3.53889,-76.30849,CAMBIO DE CARRIL CON O SIN INDICACION,157,NO APLICA,CHOQUE,50,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,SUZUKI,PALMIRA,PUBLICO,VILLA DE LAS PALMAS
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T14:50:00.000,TARDE,VIERNES,CENTRO,CALLE 29 CARRERA 31,URBANA,TECNICO,3.52651,-76.30183,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,26,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,VOLKWAGEN,CALI,PARTICULAR,NO APLICA
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T14:50:00.000,TARDE,VIERNES,CENTRO,CALLE 29 CARRERA 31,URBANA,TECNICO,3.52651,-76.30183,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,75,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PARTICULAR,NO APLICA
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T16:00:00.000,TARDE,VIERNES,INDUSTRIA,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53897,-76.30649,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,57,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,JAC,PALMIRA,PUBLICO,PALMERAS
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T16:00:00.000,TARDE,VIERNES,INDUSTRIA,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53897,-76.30649,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,26,MASCULINO,NO APLICA,NO APLICA,MOTO,AKT,CALI,PARTICULAR,NO APLICA
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T18:30:00.000,NOCHE,VIERNES,PRADO,CALLE 35 CARRERA 44,URBANA,TECNICO,3.53219,-76.3149,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,28,FEMENINA,NO APLICA,NO APLICA,CAMIONETA,MAZDA,CALI,PARTICULAR,NO APLICA
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T18:30:00.000,NOCHE,VIERNES,PRADO,CALLE 35 CARRERA 44,URBANA,TECNICO,3.53219,-76.3149,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,23,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CIRCASIA,PARTICULAR,NO APLICA
DAÑOS,01/08/2022 12:00:00 AM,"2,022",1899-12-31T10:50:00.000,MAÑANA,SABADO,DELICIAS,CALLE 26 CARRERA 26-21,URBANA,TECNICO,3.52348,-76.29837,ABRIR LA PUERTA,157,NO APLICA,CHOQUE,27,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA
DAÑOS,01/08/2022 12:00:00 AM,"2,022",1899-12-31T10:50:00.000,MAÑANA,SABADO,DELICIAS,CALLE 26 CARRERA 26-21,URBANA,TECNICO,3.52348,-76.29837,ABRIR LA PUERTA,157,NO APLICA,CHOQUE,41,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PUBLICO,NO APLICA
DAÑOS,01/09/2022 12:00:00 AM,"2,022",1899-12-31T00:30:00.000,MADRUGADA,DOMINGO,COLOMBIA,CALLE 35 CARRERA 29,URBANA,TECNICO,3.53208,-76.29902,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,35,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,KIA,POPAYAN,PARTICULAR,NO APLICA
DAÑOS,01/09/2022 12:00:00 AM,"2,022",1899-12-31T00:30:00.000,MADRUGADA,DOMINGO,COLOMBIA,CALLE 35 CARRERA 29,URBANA,TECNICO,3.53208,-76.29902,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,36,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PASTO,PARTICULAR,NO APLICA
DAÑOS,01/11/2022 12:00:00 AM,"2,022",1899-12-31T11:40:00.000,MAÑANA,MARTES,VERSALLES,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53787,-76.29704,GIRAR REPENTINAMENTE,122,NO APLICA,CHOQUE,30,MASCULINO,NO APLICA,NO APLICA,MOTO,SUZUKI,GUACARI,PARTICULAR,NO APLICA
