GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
MASCULINO,COLOMBIA,ANTIOQUIA,39-50,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,2,CASA / CABAÑA DE VACACIONES / APARTAMENTO ARRENDADO,"780,000",REDES SOCIALES,"2,021"
FEMENINO,COLOMBIA,CESAR,27-38,DE PASO,6,HOTEL,"900,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,VALLEDUPAR,51-62,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",5,APARTAHOTEL,"1,300,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
MASCULINO,COLOMBIA,BOLIVAR,39-50,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",6,CASA / CABAÑA DE VACACIONES/ APARTAMENTO PROPIO,"1,800,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CUNDINAMARCA,39-50,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",6,HOTEL,"1,500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CUNDINAMARCA,27-38,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",4,HOTEL,"1,900,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CUNDINAMARCA,39-50,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",4,HOTEL,"1,700,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,39-50,EDUCACIÓN / FORMACIÓN,3,HABITACIÓN SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MÍA,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,10,CASA FAMILIARES / AMIGOS,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,10,CASA FAMILIARES / AMIGOS,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOYACÁ,39-50,"VACACIONES, RECREO Y OCIO",8,CASA FAMILIARES / AMIGOS,"2,200,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOLIVAR,39-50,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",5,HOTEL,"2,000,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,BOLIVAR,27-38,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",4,HOTEL,"1,500,000",POR LA EMPRESA,"2,021"
MASCULINO,COLOMBIA,HUILA,39-50,"VACACIONES, RECREO Y OCIO",5,HOTEL,"1,000,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
FEMENINO,COLOMBIA,HUILA,15-26,"VACACIONES, RECREO Y OCIO",5,HOTEL,"400,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,HUILA,27-38,"VACACIONES, RECREO Y OCIO",4,CASA FAMILIARES / AMIGOS,"800,000",REDES SOCIALES,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,39-50,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,8,CASA FAMILIARES / AMIGOS,"900,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,39-50,"VACACIONES, RECREO Y OCIO",4,HOTEL,"2,500,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
MASCULINO,COLOMBIA,CALDAS,15-26,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,1,HOSTAL / ALBERGUE / REFUGIO / POSADA TURÍSTICA,"900,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
FEMENINO,COLOMBIA,CALDAS,15-26,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",2,HOTEL,"900,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CUNDINAMARCA,39-50,"ASISTIR O DICTAR CONFERENCIA, PONENTE EN CONGRESO, FERIA COMERCIAL O EXPOSICIÓN",4,APARTAMENTO DE LA OFICINA,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
